Service,Base URL,Admin Panel,Health Check,Swagger/API Documentation
Auth Service,http://108.141.192.60/,http://108.141.192.60/admin/,http://108.141.192.60/health/,http://108.141.192.60/swagger/
Chat Service,http://108.141.192.60/chat/,http://108.141.192.60/chat/admin/,http://108.141.192.60/chat/health/,http://108.141.192.60/chat/swagger/
Payment Service,http://108.141.192.60/payments/,http://108.141.192.60/payments/admin/,http://108.141.192.60/payments/health/,http://108.141.192.60/payments/swagger/
Notifications Service,http://108.141.192.60/notifications/,http://108.141.192.60/notifications/admin/,http://108.141.192.60/notifications/health/,http://108.141.192.60/notifications/swagger/
Product Management Service,http://108.141.192.60/products/,http://108.141.192.60/products/admin/,http://108.141.192.60/products/health/,http://108.141.192.60/products/swagger/
Transactions Service,http://108.141.192.60/transactions/,http://108.141.192.60/transactions/admin/,http://108.141.192.60/transactions/health/,http://108.141.192.60/transactions/swagger/
Reviews Service,http://108.141.192.60/reviews/,http://108.141.192.60/reviews/admin/,http://108.141.192.60/reviews/health/,http://108.141.192.60/reviews/swagger/
Resolution Service,http://108.141.192.60/resolution/,http://108.141.192.60/resolution/admin/,http://108.141.192.60/resolution/health/,http://108.141.192.60/resolution/swagger/
Nginx Proxy,http://108.141.192.60/,N/A,http://108.141.192.60/health,N/A
Grafana Dashboard,http://48.222.241.55:3000/,N/A,N/A,Monitoring dashboard
Prometheus Metrics,http://48.222.241.55:4000/,N/A,N/A,Metrics and queries
Ngrok Tunnel (Public),https://f8ce28e3ad69.ngrok-free.app/,All services accessible,https://f8ce28e3ad69.ngrok-free.app/health,All APIs accessible via tunnel
